year,mineral,unit,filename
2023,ZEOLITES (NATURAL),METRIC TONS,mcs2023-zeoli_world.csv
2023,ZINC,THOUSAND METRIC TONS,mcs2023-zinc_world.csv
2023,ZIRCONIUM AND HAFNIUM,METRIC TONS,mcs2023-zirco_world.csv
2024,ABRASIVES (MANUFACTURED),METRIC TONS,mcs2024-abras_world.csv
2024,ALUMINUM,THOUSAND METRIC TONS,mcs2024-alumi_world.csv
2024,ANTIMONY,METRIC TONS,mcs2024-antim_world.csv
2024,ARSENIC,METRIC TONS,mcs2024-arsen_world.csv
2024,ASBESTOS,METRIC TONS,mcs2024-asbes_world.csv
2024,BARITE,THOUSAND METRIC TONS,mcs2024-barit_world.csv
2024,BAUXITE AND ALUMINA,THOUSAND METRIC DRY TONS,mcs2024-bauxi_world.csv
2024,BERYLLIUM,METRIC TONS,mcs2024-beryl_world.csv
2024,BISMUTH,METRIC TONS,mcs2024-bismu_world.csv
2024,BORON,THOUSAND METRIC TONS,mcs2024-boron_world.csv
2024,BROMINE,METRIC TONS,mcs2024-bromi-world.csv
2024,CADMIUM,METRIC TONS,mcs2024-cadmi_world.csv
2024,CEMENT,THOUSAND METRIC TONS,mcs2024-cemen_world.csv
2024,CHROMIUM,THOUSAND METRIC TONS,mcs2024-chrom-world.csv
2024,CLAYS,THOUSAND METRIC TONS,mcs2024-clays_world.csv
2024,COBALT,METRIC TONS,mcs2024-cobal_world.csv
2024,COPPER,THOUSAND METRIC TONS,mcs2024-coppe_world.csv
2024,DIAMOND (INDUSTRIAL),MILLION CARATS,mcs2024-diamo-world.csv
2024,DIATOMITE,THOUSAND METRIC TONS,mcs2024-diato_world.csv
2024,FELDSPAR AND NEPHELINE SYENITE,THOUSAND METRIC TONS,mcs2024-felds_world.csv
2024,IRON ORE,THOUSAND METRIC TONS,mcs2024-feore_world.csv
2024,IRON OXIDE PIGMENTS,METRIC TONS,mcs2024-fepig_world.csv
2024,IRON AND STEEL,MILLION METRIC TONS,mcs2024-feste_world.csv
2024,FLUORSPAR,THOUSAND METRIC TONS,mcs2024-fluor_world.csv
2024,GALLIUM,KILOGRAMS,mcs2024-galli-world.csv
2024,GARNET (INDUSTRIAL),METRIC TONS,mcs2024-garne-world.csv
2024,GEMSTONES,MILLION DOLLARS,mcs2024-gemst_world.csv
2024,GERMANIUM,KILOGRAMS,mcs2024-germa_world.csv
2024,GOLD,METRIC TONS,mcs2024-gold_world.csv
2024,GRAPHITE (NATURAL),METRIC TONS,mcs2024-graph_world.csv
2024,GYPSUM,THOUSAND METRIC TONS,mcs2024-gypsu_world.csv
2024,HELIUM,MILLION CUBIC METERS,mcs2024-heliu_world.csv
2024,INDIUM,METRIC TONS,mcs2024-indiu_world.csv
2024,IODINE,METRIC TONS,mcs2024-iodin_world.csv
2024,KYANITE AND RELATED MINERALS,METRIC TONS,mcs2024_kyani_world.csv
2024,LEAD,THOUSAND METRIC TONS,mcs2024-lead_world.csv
2024,LIME,THOUSAND METRIC TONS,mcs2024-lime_world.csv
2024,LITHIUM,METRIC TONS,mcs2024-lithi_world.csv
2024,MANGANESE,THOUSAND METRIC TONS,mcs2024-manga_world.csv
2024,MERCURY,METRIC TONS,mcs2024-mercu_world.csv
2024,MAGNESIUM COMPOUNDS,NUMBER,mcs2024-mgcom-world.csv
2024,MAGNESIUM METAL,THOUSAND METRIC TONS,mcs2024-mgmet_world.csv
2024,MICA,METRIC TONS,mcs2024-mica_world.csv
2024,MOLYBDENUM,METRIC TONS,mcs2024-molyb_world.csv
2024,NICKEL,METRIC TONS,mcs2024-nicke_world.csv
2024,NIOBIUM (COLUMBIUM),METRIC TONS,mcs2024-niobi_world.csv
2024,NITROGEN (FIXED)--AMMONIA,THOUSAND METRIC TONS,mcs2024-nitro_world.csv
2024,PEAT,THOUSAND METRIC TONS,mcs2024-peat_world.csv
2024,PERLITE,THOUSAND METRIC TONS,mcs2024-perli_world.csv
2024,PHOSPHATE ROCK,THOUSAND METRIC TONS,mcs2024-phosp_world.csv
2024,PLATINUM-GROUP METALS,KILOGRAMS,mcs2024-plati_world.csv
2024,POTASH,THOUSAND METRIC TONS OF K2O EQUIVALENT,mcs2024-potas-world.csv
2024,PUMICE AND PUMICITE,THOUSAND METRIC TONS,mcs2024-pumic_world.csv
2024,RARE EARTHS,METRIC TONS,mcs2024-raree_world.csv
2024,RHENIUM,KILOGRAMS,mcs2024-rheni_world.csv
2024,SALT,THOUSAND METRIC TONS,mcs2024-salt_world.csv
2024,SAND AND GRAVEL (INDUSTRIAL),THOUSAND METRIC TONS,mcs2024-sandi_world.csv
2024,SELENIUM,METRIC TONS CONTAINED SELENIUM,mcs2024-selen_world.csv
2024,SILVER,METRIC TONS,mcs2024-silve_world.csv
2024,SILICON,THOUSAND METRIC TONS,mcs2024-simet_world.csv
2024,SODA ASH,THOUSAND METRIC TONS,mcs2024-sodaa_world.csv
2024,STONE (DIMENSION),THOUSAND METRIC TONS,mcs2024-stond_world.csv
2024,STRONTIUM,METRIC TONS,mcs2024-stron_world.csv
2024,SULFUR,THOUSAND METRIC TONS,mcs2024-sulfu_world.csv
2024,TALC AND PYROPHYLLITE,THOUSAND METRIC TONS,mcs2024-talc_world.csv
2024,TANTALUM,METRIC TONS,mcs2024-tanta_world.csv
2024,TELLURIUM,METRIC TONS,mcs2024-tellu_world.csv
2024,TITANIUM MINERAL CONCENTRATES,THOUSAND METRIC TONS,mcs2024-timin_world.csv
2024,TIN,METRIC TONS,mcs2024-tin_world.csv
2024,TITANIUM AND TITANIUM DIOXIDE,METRIC TONS,mcs2024-titan_world.csv
2024,TUNGSTEN,METRIC TONS,mcs2024-tungs_world.csv
2024,VANADIUM,METRIC TONS,mcs2024-vanad_world.csv
2024,VERMICULITE,THOUSAND METRIC TONS,mcs2024-vanad_world.csv
2024,WOLLASTONITE,METRIC TONS,mcs2024-wolla_world.csv
2024,ZEOLITES (NATURAL),METRIC TONS,mcs2024-zeoli_world.csv
2024,ZINC,THOUSAND METRIC TONS,mcs2024-zinc_world.csv
2024,ZIRCONIUM AND HAFNIUM,METRIC TONS,mcs2024-zirco_world.csv
